iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__metric,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.014316678047180176,0.02192114362479569,0.00988924503326416,0.014552015884245463,20,chebyshev,8,2,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'distance'}",-9986720.893425174,-10072569.674246041,-5922549.487818591,-1998248.6802902669,-579296.2142240434,-4159531.1755836057,-1107005.5179126798,-9219007.900538092,-2000450.402887851,-13710537.461549986,-5875591.740847634,4368850.5594584895,391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.00265960693359375,0.00016231857648519405,0.0017123222351074219,0.00010550144701315668,20,chebyshev,10,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'uniform'}",-10293605.399999999,-10690577.3,-5712851.35,-1723282.7499999998,-709885.5,-4970994.300000001,-1447767.15,-8772855.5,-2085526.75,-14455018.649999999,-6086236.465,4505564.527758174,511,-3321601.064,-4908161.496,-3948469.828,-5506625.556,-2641160.716,-4428414.04,-2893983.22,-3787027.288,-2709097.0519999997,-2275014.42,-3641955.468,1010753.1068625288
0,28,0.0025166034698486327,3.148970640879705e-05,0.0016591548919677734,4.629251441704655e-05,20,chebyshev,10,1,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",-10304091.817002518,-10474668.46054693,-5751916.647708668,-1467625.4196851319,-627866.7989915493,-4834272.521501912,-1262394.9505347032,-8832137.243889565,-2105059.1078001205,-14181314.2113451,-5984134.71790062,4493755.859524919,451,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.012410497665405274,0.021201135660385655,0.0075483560562133786,0.014241917624228476,20,chebyshev,10,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'uniform'}",-10293605.399999999,-10690577.3,-5712851.35,-1723282.7499999998,-709885.5,-4970994.300000001,-1447767.15,-8772855.5,-2085526.75,-14455018.649999999,-6086236.465,4505564.527758174,511,-3321601.064,-4908161.496,-3948469.828,-5506625.556,-2641160.716,-4428414.04,-2893983.22,-3787027.288,-2709097.0519999997,-2275014.42,-3641955.468,1010753.1068625288
0,28,0.004476523399353028,0.003996707311200265,0.007593131065368653,0.016980068589396304,20,chebyshev,10,2,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",-10304091.817002518,-10474668.46054693,-5751916.647708668,-1467625.4196851319,-627866.7989915493,-4834272.521501912,-1262394.9505347032,-8832137.243889565,-2105059.1078001205,-14181314.2113451,-5984134.71790062,4493755.859524919,451,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.005326557159423828,0.0076264926128607555,0.001725482940673828,0.00014700328910249765,20,chebyshev,15,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'uniform'}",-9267402.566666666,-11912343.8,-5515731.366666667,-2031863.5333333332,-2707491.0666666664,-5014932.933333334,-2251334.533333333,-8815278.3,-2244025.0666666664,-15153742.166666666,-6491414.533333333,4369039.593281886,641,-3222611.077333333,-4687950.250666667,-4474197.1653333325,-5852612.061333333,-3398839.6746666674,-4730898.594666666,-2865276.3439999996,-4466854.133333334,-2738079.336,-2535766.52,-3897308.5157333342,1037630.4049321364
0,28,0.008427762985229492,0.01235709255523963,0.0018164634704589844,0.0002478137850279347,20,chebyshev,15,1,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'}",-9461392.842061268,-11532246.192668213,-5574104.329201076,-2020322.6861214545,-1683639.5338719,-4888728.55031134,-1860731.2770995332,-8958285.134183845,-2221223.625429821,-14888884.05739034,-6308955.822833879,4435019.3805939555,581,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.009775137901306153,0.020651885435956616,0.007649540901184082,0.01199267610779878,20,chebyshev,15,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'uniform'}",-9267402.566666666,-11912343.8,-5515731.366666667,-2031863.5333333332,-2707491.0666666664,-5014932.933333334,-2251334.533333333,-8815278.3,-2244025.0666666664,-15153742.166666666,-6491414.533333333,4369039.593281886,641,-3222611.077333333,-4687950.250666667,-4474197.1653333325,-5852612.061333333,-3398839.6746666674,-4730898.594666666,-2865276.3439999996,-4466854.133333334,-2738079.336,-2535766.52,-3897308.5157333342,1037630.4049321364
0,28,0.0025879383087158204,0.0001185435397007317,0.01262807846069336,0.02200505572658789,20,chebyshev,15,2,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'}",-9461392.842061268,-11532246.192668213,-5574104.329201076,-2020322.6861214545,-1683639.5338719,-4888728.55031134,-1860731.2770995332,-8958285.134183845,-2221223.625429821,-14888884.05739034,-6308955.822833879,4435019.3805939555,581,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0029756784439086913,0.0008437491934079729,0.00833284854888916,0.0187646941937252,20,chebyshev,20,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 20, 'model__p': 1, 'model__weights': 'uniform'}",-9602943.549999999,-12108361.95,-5558157.0,-2246049.7,-3962549.0,-4858850.15,-1978360.875,-7645491.575,-1949915.75,-15279221.45,-6518990.1,4344294.364705899,661,-3674406.13,-5344831.466,-5121700.998,-6438644.086,-4508042.03,-5006251.682,-2815579.6340000005,-5696743.636,-2786568.048,-2771439.0380000006,-4416420.6748,1261742.3756129737
0,28,0.002529621124267578,4.767668195344306e-05,0.0016622304916381835,4.618574044834781e-05,20,chebyshev,20,1,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 20, 'model__p': 1, 'model__weights': 'distance'}",-9684898.688806681,-11659211.067789676,-5599356.374274059,-2072153.3902787156,-2484982.563860692,-4777865.712721971,-1748360.9834867984,-8119340.329489062,-1952167.311868747,-15063448.276839335,-6316178.469941574,4417487.928696988,601,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.003158092498779297,0.0011376807233782259,0.006049704551696777,0.008847006956185788,20,chebyshev,20,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 20, 'model__p': 2, 'model__weights': 'uniform'}",-9602943.549999999,-12108361.95,-5558157.0,-2246049.7,-3962549.0,-4858850.15,-1978360.875,-7645491.575,-1949915.75,-15279221.45,-6518990.1,4344294.364705899,661,-3674406.13,-5344831.466,-5121700.998,-6438644.086,-4508042.03,-5006251.682,-2815579.6340000005,-5696743.636,-2786568.048,-2771439.0380000006,-4416420.6748,1261742.3756129737
0,28,0.015503811836242675,0.017661027781016865,0.004898548126220703,0.008517328388659528,20,chebyshev,20,2,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 20, 'model__p': 2, 'model__weights': 'distance'}",-9684898.688806681,-11659211.067789676,-5599356.374274059,-2072153.3902787156,-2484982.563860692,-4777865.712721971,-1748360.9834867984,-8119340.329489062,-1952167.311868747,-15063448.276839335,-6316178.469941574,4417487.928696988,601,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.00485079288482666,0.004811119208103972,0.005935049057006836,0.011324464379271305,22,minkowski,4,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'uniform'}",-10504691.125,-11413852.75,-5659489.5,-4381449.25,-687869.625,-3598302.375,-773597.875,-10903533.75,-3182068.875,-14929553.5,-6603440.8625,4708723.32445911,681,-3355760.86,-4289360.64,-2912562.99,-4512369.6,-2877762.9,-4258341.74,-2494583.27,-3164631.43,-2439700.93,-1814987.65,-3212006.201,850503.5058147783
0,28,0.0034790992736816405,0.0020328435000161057,0.0017006635665893556,9.225717439271675e-05,22,minkowski,4,1,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",-10593273.920628626,-11275758.341704482,-5651180.428661693,-5234535.2825947255,-602383.1908166027,-3526372.5891423975,-688170.4253093806,-10960308.142642781,-3155075.91873275,-15082015.210710162,-6676907.3450943595,4729770.085123611,701,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.003043866157531738,0.0011222873202123924,0.016083741188049318,0.022713276429793365,22,minkowski,4,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'uniform'}",-10286800.875,-11413852.75,-5735569.625,-4432065.625,-687869.625,-5062566.875,-773597.875,-9830139.5,-3182068.875,-15161289.375,-6656582.1,4570082.286042012,691,-3114769.69,-4531960.99,-2846428.72,-4267719.25,-2764823.02,-3843152.26,-2694571.85,-3074705.67,-2061640.23,-1942512.68,-3114228.4359999998,820010.4366956954
0,28,0.0025727510452270507,4.545341879831573e-05,0.0016773462295532227,2.8226796368674043e-05,22,minkowski,4,2,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}",-10240960.268737478,-11362660.253628783,-5721345.679267654,-5142343.856733854,-631395.4894949446,-4812037.274976749,-676753.975319004,-10021544.377273511,-3143501.9566779286,-15177404.990345161,-6692994.812245508,4581287.52493936,711,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0025963068008422853,0.00018017057293873091,0.008671188354492187,0.02108399612311768,22,minkowski,6,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'uniform'}",-9575481.416666666,-10058736.416666668,-5527629.583333333,-2342084.4166666665,-294046.33333333326,-4786823.166666667,-762718.0833333334,-9305808.0,-3163734.666666667,-14704003.916666668,-6052106.6,4461221.994180655,481,-3575757.64,-5172671.346666667,-3290151.92,-4319547.933333334,-2852685.6733333333,-4022699.873333333,-2673936.493333333,-3047490.08,-2755263.766666667,-1914493.6733333333,-3362469.84,893194.1415821873
0,28,0.003157520294189453,0.001999445072446029,0.001626896858215332,4.500696799633202e-05,22,minkowski,6,1,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'distance'}",-9734576.909237742,-10193289.398251262,-5531941.589601227,-3267459.3702489696,-308003.7122098502,-4561912.5574416425,-694691.9330619845,-9467954.656110782,-3147302.420543878,-14842273.938194785,-6174940.648490213,4470728.884923285,531,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.010835933685302734,0.01601999192810237,0.005885815620422364,0.009735152507972286,22,minkowski,6,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'uniform'}",-10197211.833333332,-10068755.833333334,-5676432.083333333,-2452013.1666666665,-96285.66666666657,-4822661.75,-820770.5833333335,-9465131.666666666,-3163734.666666667,-15186776.916666668,-6194977.416666666,4625979.899451012,541,-3316925.8866666667,-4735928.993333332,-3449878.786666667,-4419109.06,-2634547.3666666667,-3864770.98,-2574083.266666667,-2994151.1133333337,-2630428.6,-1905804.2799999998,-3252562.8333333335,841958.6764337759
0,28,0.0031220197677612306,0.0009766456231139493,0.0017499208450317382,0.00011012275433775737,22,minkowski,6,2,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'distance'}",-10238281.664442878,-10244939.316076271,-5670965.321731203,-3213542.7671648804,-103356.75758375484,-4667892.408536853,-742730.6570806864,-9604073.845701894,-3142820.426418896,-15216430.189247582,-6284503.33539849,4618711.177996722,571,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.01301107406616211,0.02266387257674485,0.0060787200927734375,0.011302749987892163,22,minkowski,8,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'uniform'}",-9793406.0625,-9473528.5,-5013532.5,-1560848.875,-234276.75,-4769204.5625,-568001.75,-8997642.5,-1910700.25,-13918574.1875,-5623971.59375,4454184.708451839,291,-3263048.58,-4930367.77,-3674433.15,-4537489.29,-2866818.125,-4121086.62,-2576609.755,-3155508.48,-2771420.685,-2052852.565,-3394963.5019999994,864964.598675283
0,28,0.011243629455566406,0.013214619602292199,0.0025707483291625977,0.0016144034563689432,22,minkowski,8,1,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'distance'}",-9901550.20362385,-9687391.571439467,-5120344.283626973,-2430881.5233422983,-256982.64172076934,-4487089.3553804085,-541414.9626230351,-9152678.374471596,-2061256.734226029,-14177654.496393487,-5781724.414684791,4463735.199092136,371,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.00866553783416748,0.0170053084288609,0.005084419250488281,0.008938161084277708,22,minkowski,8,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'uniform'}",-9742706.375,-9473528.5,-5558157.0,-1778615.9375,-374900.375,-4951329.6875,-534157.1875,-8997642.5,-3021004.9375,-14075310.9375,-5850735.34375,4353775.054564329,381,-3240828.785,-4888593.97,-3625409.83,-4645556.67,-2949830.485,-4388039.175,-2478518.73,-3191175.175,-2706572.775,-2009657.685,-3412418.328,912547.4757765629
0,28,0.005987381935119629,0.007804688579362295,0.0016866445541381836,6.533061054052656e-05,22,minkowski,8,2,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'distance'}",-9751022.385226898,-9705651.682055261,-5562921.37907703,-2514654.2886585575,-294326.90532748064,-4757806.80386479,-512810.84058121126,-9132884.918019954,-3029401.385400474,-14177423.768961243,-5943890.43571729,4356901.31568772,431,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0042397499084472655,0.0036026220201577004,0.0017019987106323242,9.796143610993596e-05,22,minkowski,10,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'uniform'}",-8428934.7,-10089243.25,-5559539.8,-1560110.0999999999,-1014136.3,-4114542.8000000003,-326512.0,-8668610.149999999,-1969940.25,-13652809.100000001,-5538437.845,4277013.748324966,241,-3461038.268,-4619020.74,-3704151.108000001,-4737051.696,-3193569.8559999997,-4526877.120000001,-2686680.46,-3419341.152,-2850176.068,-2210159.948,-3540806.6416,819229.9595094862
0,28,0.003582596778869629,0.0030271098446504776,0.0016751289367675781,5.9665077091310724e-05,22,minkowski,10,1,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",-8753234.122185158,-10171597.346110243,-5559376.523794636,-1993120.0596969146,-685209.581152573,-4019934.5949478485,-359108.3651013449,-8864800.266307771,-2085946.194928749,-13920812.503969032,-5641313.955819426,4361177.418881449,301,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0026076078414916993,0.00017211104975160848,0.001680302619934082,5.395977118826618e-05,22,minkowski,10,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'uniform'}",-8479615.15,-9887021.05,-5558157.0,-1731805.2,-709885.5,-4736110.15,-879567.4999999999,-9034876.1,-2112276.65,-14548828.1,-5767814.24,4385657.526370663,331,-3338489.228,-4722327.592,-3843484.192,-4860799.62,-3121688.5319999997,-4619427.604,-2700809.276,-3386219.9240000006,-2814307.4720000005,-2205662.6560000004,-3561321.6096,874396.7588578399
0,28,0.0026097774505615236,0.00019331888761759333,0.0037233829498291016,0.006127293018640216,22,minkowski,10,2,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",-8756581.879684992,-10030960.998261731,-5562826.824165642,-1748849.1217698003,-540106.7980276785,-4622034.450254277,-801222.3988757206,-9137582.082857128,-1915406.0092345974,-14576348.171876362,-5769191.873500793,4476568.543337314,341,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.002514338493347168,2.6002593060874996e-05,0.0016192913055419922,1.9096956118460807e-05,22,minkowski,15,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'uniform'}",-9356551.366666667,-11164696.5,-5558157.0,-1788789.5333333332,-1849135.9333333333,-4757654.033333333,-1836889.3666666667,-8657819.666666666,-1654424.6333333333,-14120740.200000001,-6074485.823333333,4287348.862136441,501,-3474416.3759999997,-4741001.632,-4283494.488,-5234496.32,-3678273.6933333334,-4629272.744,-2719390.36,-3823756.7173333336,-2844636.32,-2529558.6426666663,-3795829.7293333327,876378.6068207461
0,28,0.003026723861694336,0.0012718192692206653,0.0016813039779663085,6.169971111562111e-05,22,minkowski,15,1,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'}",-9316968.530071475,-10983840.329558209,-5569030.647064309,-1924911.3999796899,-1203089.7975941151,-4545436.677235019,-1481341.3596583204,-8794324.85371266,-1662732.7341440385,-14269958.345096767,-5975163.46741146,4395265.4688730845,441,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0032254934310913088,0.0019385186811703779,0.010663366317749024,0.026892035847574484,22,minkowski,15,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'uniform'}",-9304981.8,-11164696.5,-5632515.866666667,-1841931.6333333333,-1849135.9333333333,-4452093.466666667,-1593847.2000000002,-8987926.4,-1710630.2333333334,-14115630.733333334,-6065338.976666667,4326761.016586365,491,-3392515.8746666666,-4791401.397333333,-4131544.056,-5518683.357333333,-3675620.621333333,-4612820.533333333,-2817658.3626666665,-3859593.794666667,-2784924.3733333335,-2379003.0106666666,-3796376.5381333334,943763.0860397166
0,28,0.0027631282806396484,0.0005701878213052046,0.005699729919433594,0.012021599309147297,22,minkowski,15,2,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'}",-9363822.050215185,-10992808.742534943,-5627381.28375172,-1893057.249020977,-1202511.4999719593,-4414718.038115114,-1350754.5391290546,-9045767.8260203,-1844799.8544985382,-14201831.410708884,-5993745.249396667,4406878.676846102,471,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.013939952850341797,0.016073263069582757,0.0037687540054321287,0.003219026693807956,22,minkowski,20,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 20, 'model__p': 1, 'model__weights': 'uniform'}",-9475454.0,-11847608.899999999,-5558157.0,-1966382.7,-4186804.4250000003,-4890604.25,-2401648.8,-7214779.425000001,-1479871.35,-14767925.95,-6378923.68,4213705.240887557,621,-3625517.478,-5042194.5479999995,-4674848.183999999,-5514174.723999999,-4576691.692000001,-4744582.078,-2945394.046,-5075568.624,-2983584.792,-2760113.99,-4194267.0156000005,965587.366446206
0,28,0.005553674697875976,0.006970738286589088,0.0028696060180664062,0.002784436770677799,22,minkowski,20,1,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 20, 'model__p': 1, 'model__weights': 'distance'}",-9479357.40951514,-11362284.363221932,-5583204.242245758,-2225020.3555338783,-2664390.5120016644,-4568535.388801724,-1864898.246901638,-7932476.881946817,-1633031.2749077606,-14732945.814708432,-6204614.448978474,4291960.092004014,551,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.012359976768493652,0.02766516686019608,0.0016695261001586914,8.537377825477456e-05,22,minkowski,20,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 20, 'model__p': 2, 'model__weights': 'uniform'}",-9517100.774999999,-11956841.524999999,-5558157.0,-1615004.6500000001,-4292462.15,-4678389.5,-2401648.8,-8219823.95,-1753399.3,-14685450.775,-6467827.842499999,4255555.21160371,631,-3608701.276,-5032556.2,-4770322.470000001,-5518829.078,-4409003.766,-4793990.056,-2916677.7,-5283285.65,-2857567.5939999996,-2759531.648,-4195046.5438,1010005.9910930861
0,28,0.00396878719329834,0.003596744770499197,0.004429078102111817,0.0077024141702127106,22,minkowski,20,2,distance,"{'model__leaf_size': 22, 'model__metric': 'minkowski', 'model__n_neighbors': 20, 'model__p': 2, 'model__weights': 'distance'}",-9498739.433525745,-11461925.316621348,-5577763.342718534,-1924006.8235422936,-2697846.3492379654,-4530671.473721653,-1889381.232693034,-8669227.219496118,-1890620.294930113,-14657200.63651214,-6279738.212299895,4324378.629990786,561,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0031371831893920897,0.0017367151776134522,0.0016479730606079102,2.5680337306259195e-05,22,chebyshev,4,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'uniform'}",-10812003.875,-7688835.0,-5539148.75,-1778208.125,-416787.0,-4530167.625,-569918.875,-10134120.25,-1752207.875,-12776425.75,-5599782.3125,4316419.850394394,251,-2930432.34,-3666099.24,-3775417.75,-5041720.1,-2824029.56,-4379539.67,-2466520.39,-2702273.53,-2396780.06,-1750171.12,-3193298.3759999997,952788.6573810965
0,28,0.012946820259094239,0.021596916157030095,0.004428648948669433,0.007154359738593913,22,chebyshev,4,1,distance,"{'model__leaf_size': 22, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",-10788857.899287973,-7666374.304500983,-5551849.201833279,-1965516.187705289,-419010.92531215865,-4584199.493669106,-535695.9097017806,-10008230.40338261,-2008754.8989713867,-12517470.812466493,-5604596.003683106,4220288.407206382,271,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.010880732536315918,0.011137283001902172,0.005606412887573242,0.009819368745383106,22,chebyshev,4,2,uniform,"{'model__leaf_size': 22, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'uniform'}",-10812003.875,-7688835.0,-5539148.75,-1778208.125,-416787.0,-4530167.625,-569918.875,-10134120.25,-1752207.875,-12776425.75,-5599782.3125,4316419.850394394,251,-2930432.34,-3666099.24,-3775417.75,-5041720.1,-2824029.56,-4379539.67,-2466520.39,-2702273.53,-2396780.06,-1750171.12,-3193298.3759999997,952788.6573810965
0,28,0.00854177474975586,0.015956213552319944,0.0016826868057250976,5.938135762391382e-05,22,chebyshev,4,2,distance,"{'model__leaf_size': 22, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}",-10788857.899287973,-7666374.304500983,-5551849.201833279,-1965516.187705289,-419010.92531215865,-4584199.493669106,-535695.9097017806,-10008230.40338261,-2008754.8989713867,-12517470.812466493,-5604596.003683106,4220288.407206382,271,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.004166030883789062,0.002768622106697131,0.006368207931518555,0.009880892165350647,22,chebyshev,6,1,uniform,"{'model__leaf_size': 22, 'model__metric': 'chebyshev', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'uniform'}",-11061486.0,-10082765.75,-5676432.083333334,-1348119.0000000002,-166582.00000000006,-4438710.916666666,-707718.5000000001,-9291089.833333334,-1336233.25,-13621199.25,-5773033.658333333,4676071.810476276,351,-3114563.686666667,-4259604.726666667,-3539390.8799999994,-5336411.100000001,-2838001.1600000006,-4527214.96,-2585595.6933333334,-3069669.086666667,-2553946.1799999997,-2037712.6133333337,-3386211.008666667,975606.1560550529
0,28,0.007334756851196289,0.009141297531468045,0.0024608612060546876,0.0023481011489637255,22,chebyshev,6,1,distance,"{'model__leaf_size': 22, 'model__metric': 'chebyshev', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'distance'}",-11011960.183810078,-9888744.339219451,-5671305.901486785,-1514806.6136381205,-133871.55774607067,-4543785.0210451875,-668328.3807190838,-9258402.89629985,-1526463.8923510362,-13347172.739975046,-5756484.152629072,4576499.606664989,311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
